split,relative_stem,image_path,width,height,aspect_ratio,objects
train,frame_00007081,images/train/frame_00007081.jpg,848,462,1.8354978354978355,1
train,frame_00007281,images/train/frame_00007281.jpg,1280,720,1.7777777777777777,24
train,frame_00007391,images/train/frame_00007391.jpg,1024,1280,0.8,1
train,frame_00007429,images/train/frame_00007429.jpg,640,352,1.8181818181818181,1
train,frame_00007440,images/train/frame_00007440.jpg,640,352,1.8181818181818181,5
train,frame_00007511,images/train/frame_00007511.jpg,1920,1080,1.7777777777777777,1
train,frame_00007861,images/train/frame_00007861.jpg,1920,1072,1.791044776119403,1
train,frame_00007862,images/train/frame_00007862.jpg,1920,1072,1.791044776119403,1
train,frame_00007890,images/train/frame_00007890.jpg,1920,1072,1.791044776119403,1
train,frame_00008039,images/train/frame_00008039.jpg,1920,1072,1.791044776119403,1
train,frame_00008448,images/train/frame_00008448.jpg,1280,592,2.1621621621621623,3
train,frame_00008690,images/train/frame_00008690.jpg,1280,592,2.1621621621621623,2
train,frame_00008765,images/train/frame_00008765.jpg,1280,592,2.1621621621621623,4
train,frame_00008880,images/train/frame_00008880.jpg,1280,592,2.1621621621621623,1
train,frame_00009111,images/train/frame_00009111.jpg,1280,592,2.1621621621621623,5
train,frame_00009223,images/train/frame_00009223.jpg,1280,592,2.1621621621621623,4
train,frame_00009841,images/train/frame_00009841.jpg,1280,592,2.1621621621621623,2
train,frame_00009900,images/train/frame_00009900.jpg,1280,592,2.1621621621621623,3
train,frame_00010396,images/train/frame_00010396.jpg,1280,592,2.1621621621621623,2
train,frame_00010475,images/train/frame_00010475.jpg,1280,592,2.1621621621621623,2
train,frame_00010841,images/train/frame_00010841.jpg,1280,720,1.7777777777777777,1
train,frame_00010882,images/train/frame_00010882.jpg,1280,720,1.7777777777777777,1
train,frame_00010925,images/train/frame_00010925.jpg,1280,720,1.7777777777777777,1
train,frame_00011355,images/train/frame_00011355.jpg,1280,720,1.7777777777777777,1
train,frame_00011398,images/train/frame_00011398.jpg,1280,720,1.7777777777777777,1
train,frame_00011405,images/train/frame_00011405.jpg,1280,720,1.7777777777777777,1
train,frame_00011540,images/train/frame_00011540.jpg,1280,720,1.7777777777777777,1
train,frame_00011549,images/train/frame_00011549.jpg,1280,720,1.7777777777777777,1
train,frame_00011635,images/train/frame_00011635.jpg,1280,720,1.7777777777777777,1
train,frame_00011804,images/train/frame_00011804.jpg,1280,720,1.7777777777777777,1
train,frame_00011911,images/train/frame_00011911.jpg,1280,720,1.7777777777777777,1
train,frame_00011996,images/train/frame_00011996.jpg,1280,720,1.7777777777777777,3
train,frame_00012481,images/train/frame_00012481.jpg,1280,720,1.7777777777777777,1
train,frame_00012559,images/train/frame_00012559.jpg,1280,720,1.7777777777777777,1
train,frame_00012609,images/train/frame_00012609.jpg,1280,720,1.7777777777777777,2
train,frame_00012770,images/train/frame_00012770.jpg,1280,720,1.7777777777777777,1
train,frame_00012920,images/train/frame_00012920.jpg,1280,720,1.7777777777777777,1
train,frame_00012938,images/train/frame_00012938.jpg,1280,720,1.7777777777777777,2
train,frame_00013064,images/train/frame_00013064.jpg,848,462,1.8354978354978355,1
train,frame_00013156,images/train/frame_00013156.jpg,1280,720,1.7777777777777777,2
train,frame_00013160,images/train/frame_00013160.jpg,1280,720,1.7777777777777777,1
train,frame_00013163,images/train/frame_00013163.jpg,1280,720,1.7777777777777777,1
train,frame_00013244,images/train/frame_00013244.jpg,1280,704,1.8181818181818181,3
